GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
brick-control-lab,org.chabala.brick.controllab,ControlLab,0,4,0,0,0,1,0,1,0,1
brick-control-lab,org.chabala.brick.controllab,SensorValueImpl,6,59,0,0,2,10,2,4,2,4
brick-control-lab,org.chabala.brick.controllab,LightSensor,62,0,0,0,10,0,5,0,5,0
brick-control-lab,org.chabala.brick.controllab,TouchSensor,57,0,5,0,15,0,9,0,5,0
brick-control-lab,org.chabala.brick.controllab,Output,5,148,0,6,0,21,1,8,1,5
brick-control-lab,org.chabala.brick.controllab,PowerLevel,5,124,0,2,0,17,1,6,1,5
brick-control-lab,org.chabala.brick.controllab,StopButtonEvent,10,0,0,0,4,0,2,0,2,0
brick-control-lab,org.chabala.brick.controllab,SerialListener,201,366,17,27,35,67,14,22,2,12
brick-control-lab,org.chabala.brick.controllab,SensorValue,18,0,4,0,2,0,4,0,2,0
brick-control-lab,org.chabala.brick.controllab,StopButtonListener,2,0,0,0,2,0,2,0,2,0
brick-control-lab,org.chabala.brick.controllab,Protocol,6,0,0,0,2,0,1,0,1,0
brick-control-lab,org.chabala.brick.controllab,Direction,5,52,0,0,0,8,1,4,1,4
brick-control-lab,org.chabala.brick.controllab,KeepAliveMonitor.NamedDaemonThreadFactory,0,23,0,0,0,8,0,2,0,2
brick-control-lab,org.chabala.brick.controllab,Input,5,93,0,0,0,9,1,3,1,3
brick-control-lab,org.chabala.brick.controllab,TemperatureSensor,72,0,4,0,13,0,7,0,5,0
brick-control-lab,org.chabala.brick.controllab,KeepAliveMonitor,8,83,2,2,2,22,2,6,0,6
brick-control-lab,org.chabala.brick.controllab,ControlLabImpl,28,209,8,14,9,49,8,16,2,11
brick-control-lab,org.chabala.brick.controllab.jssc,JsscSerialPort,0,116,0,2,0,36,0,13,0,12
brick-control-lab,org.chabala.brick.controllab.jssc,JsscSerialPortFactory,0,11,0,0,0,3,0,3,0,3
